Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020
8275,   Timor-Leste,,626,B R,   Indonesia,360, 4 485, 4 893, 5 337, 5 666, 5 779, 4 177, 4 113
8276,   Timor-Leste,,626,B R,   Malaysia*,458,134,145,159,169,173,65,63
8277,   Timor-Leste,,626,B R,   New Zealand*,554,139,151,165,175,179,72,70
8278,   Timor-Leste,,626,B R,   Pakistan,586,190,207,226,240,245,306,301
8279,   Timor-Leste,,626,B R,   Philippines,608,591,629,673,731,762,377,370
8280,   Timor-Leste,,626,B R,   Portugal,620,258,281,308,327,334,276,271
8281,   Timor-Leste,,626,B R,   Singapore,702,57,62,68,73,75,81,79
8282,   Timor-Leste,,626,B R,   Thailand,764,119,130,143,152,155,62,60
8283,   Timor-Leste,,626,B R,   United States of America*,840,64,64,66,70,72,59,57
8284,   Timor-Leste,,626,B R,   Viet Nam,704,162,176,192,204,209,208,204
8285,   Timor-Leste,,626,B R,Other,2003, 1 062, 1 173, 1 275, 1 356, 1 378, 1 158, 1 162
8286,   Viet Nam,,704,C R,WORLD,900, 28 118, 51 262, 56 754, 51 768, 61 756, 72 793, 76 767
8287,   Viet Nam,,704,C R,  Sub-Saharan Africa,947,..,..,..,..,..,..,..
8288,   Viet Nam,,704,C R,  Northern Africa and Western Asia,1833,..,..,..,..,..,..,..
8289,   Viet Nam,,704,C R,  Central and Southern Asia,921,523, 1 356, 3 395, 7 136, 10 689, 12 818, 13 512
8290,   Viet Nam,,704,C R,  Eastern and South-Eastern Asia,1832, 26 293, 46 474, 44 636, 35 507, 41 720, 48 693, 51 344
8291,   Viet Nam,,704,C R,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
8292,   Viet Nam,,704,C R,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
8293,   Viet Nam,,704,C R,  Australia and New Zealand,927,16,28,45,36,32,37,37
8294,   Viet Nam,,704,C R,  Europe and Northern America,1829,566, 1 945, 5 300, 5 304, 4 927, 5 942, 6 260
8295,   Viet Nam,,704,C R,  Developed regions,901,706, 2 197, 5 816, 6 149, 6 501, 7 822, 8 239
8296,   Viet Nam,,704,C R,  Less developed regions,902, 26 692, 47 606, 47 560, 41 834, 50 867, 59 668, 62 914
8297,   Viet Nam,,704,C R," Less developed regions, excluding least developed countries",934, 3 215, 7 805, 18 796, 21 198, 25 118, 30 325, 31 976
8298,   Viet Nam,,704,C R," Less developed regions, excluding China",948, 26 080, 46 414, 44 987, 39 173, 48 427, 56 663, 59 747
8299,   Viet Nam,,704,C R,  Least developed countries,941, 23 477, 39 801, 28 764, 20 636, 25 749, 29 343, 30 938
8300,   Viet Nam,,704,C R,  Land-locked Developing Countries (LLDC),1636, 1 139, 2 188, 4 768, 6 316, 7 925, 9 271, 9 774
8301,   Viet Nam,,704,C R,  Small island developing States (SIDS),1637,294,522, 1 046, 1 220, 1 451, 1 751, 1 845
8302,   Viet Nam,,704,C R,  High-income countries,1503, 1 025, 2 794, 7 058, 8 008, 9 447, 11 378, 11 986
8303,   Viet Nam,,704,C R,  Middle-income countries,1517, 26 317, 46 781, 45 670, 39 108, 46 675, 54 609, 57 583
8304,   Viet Nam,,704,C R, Upper-middle-income countries,1502, 2 636, 6 417, 15 459, 16 760, 18 627, 22 545, 23 780
8305,   Viet Nam,,704,C R, Lower-middle-income countries,1501, 23 681, 40 364, 30 211, 22 348, 28 048, 32 064, 33 803
8306,   Viet Nam,,704,C R,  Low-income countries,1500,56,228,648,867, 1 246, 1 503, 1 584
8307,   Viet Nam,,704,C R, AFRICA,903,..,..,..,..,..,..,..
8308,   Viet Nam,,704,C R,  Eastern Africa,910,..,..,..,..,..,..,..
8309,   Viet Nam,,704,C R,  Middle Africa,911,..,..,..,..,..,..,..
8310,   Viet Nam,,704,C R,  Northern Africa,912,..,..,..,..,..,..,..
8311,   Viet Nam,,704,C R,  Southern Africa,913,..,..,..,..,..,..,..
8312,   Viet Nam,,704,C R,  Western Africa,914,..,..,..,..,..,..,..
8313,   Viet Nam,,704,C R, ASIA,935, 26 816, 47 830, 48 031, 42 643, 52 409, 61 511, 64 856
8314,   Viet Nam,,704,C R,  Central Asia,5500,..,..,..,..,..,..,..
8315,   Viet Nam,,704,C R,  Eastern Asia,906,817, 1 719, 3 888, 4 976, 6 723, 8 156, 8 595
8316,   Viet Nam,,704,C R,  South-Eastern Asia,920, 25 476, 44 755, 40 748, 30 531, 34 997, 40 537, 42 749
8317,   Viet Nam,,704,C R,  Southern Asia,5501,523, 1 356, 3 395, 7 136, 10 689, 12 818, 13 512
8318,   Viet Nam,,704,C R,  Western Asia,922,..,..,..,..,..,..,..
8319,   Viet Nam,,704,C R, EUROPE,908,277, 1 283, 3 740, 2 948, 1 097, 1 324, 1 393
8320,   Viet Nam,,704,C R,  Eastern Europe,923,..,..,..,..,..,..,..
8321,   Viet Nam,,704,C R,  Northern Europe,924,256, 1 230, 3 613, 2 803,927, 1 119, 1 178
8322,   Viet Nam,,704,C R,  Southern Europe,925,..,..,..,..,..,..,..
8323,   Viet Nam,,704,C R,  Western Europe,926,21,53,127,145,170,205,215
8324,   Viet Nam,,704,C R, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
8325,   Viet Nam,,704,C R,  Caribbean,915,..,..,..,..,..,..,..
8326,   Viet Nam,,704,C R,  Central America,916,..,..,..,..,..,..,..
8327,   Viet Nam,,704,C R,  South America,931,..,..,..,..,..,..,..
8328,   Viet Nam,,704,C R, NORTHERN AMERICA,905,289,662, 1 560, 2 356, 3 830, 4 618, 4 867
8329,   Viet Nam,,704,C R, OCEANIA ,909,16,28,45,36,32,37,37
8330,   Viet Nam,,704,C R,  Australia and New Zealand,927,16,28,45,36,32,37,37
8331,   Viet Nam,,704,C R,  Melanesia,928,..,..,..,..,..,..,..
8332,   Viet Nam,,704,C R,  Micronesia,954,..,..,..,..,..,..,..
8333,   Viet Nam,,704,C R,  Polynesia*,957,..,..,..,..,..,..,..
8334,   Viet Nam,,704,C R,   Australia*,36,16,28,45,36,32,37,37
8335,   Viet Nam,,704,C R,   Bangladesh,50,225,523, 1 244, 4 129, 6 540, 7 895, 8 325
8336,   Viet Nam,,704,C R,   Myanmar,104,963, 2 690, 6 807, 7 834, 9 356, 11 187, 11 796
8337,   Viet Nam,,704,C R,   Cambodia,116, 21 150, 34 400, 15 945, 2 357, 1 928,990, 1 043
8338,   Viet Nam,,704,C R,   Canada,124,26,77,201,544, 1 205, 1 454, 1 532
8339,   Viet Nam,,704,C R,   Sri Lanka,144,46,114,278,151,101,79,82
8340,   Viet Nam,,704,C R,   China*,156,612, 1 192, 2 573, 2 661, 2 440, 3 005, 3 167
8341,   Viet Nam,,704,C R,   France*,250,21,53,127,145,170,205,215
8342,   Viet Nam,,704,C R,   India,356,116,350,933, 1 143, 1 614, 1 938, 2 043
8343,   Viet Nam,,704,C R,   Indonesia,360,793, 2 197, 5 662, 5 861, 6 511, 7 860, 8 288
8344,   Viet Nam,,704,C R,   Japan,392,124,224,471,809, 1 542, 1 843, 1 942
8345,   Viet Nam,,704,C R,   Dem. People's Republic of Korea,408,56,228,648,867, 1 246, 1 503, 1 584
8346,   Viet Nam,,704,C R,   Republic of Korea,410,25,75,196,639, 1 495, 1 805, 1 902
8347,   Viet Nam,,704,C R,   Lao People's Democratic Republic,418, 1 033, 1 889, 3 994, 4 941, 5 981, 6 956, 7 334
8348,   Viet Nam,,704,C R,   Malaysia*,458,13,33,79,90,106,128,133
8349,   Viet Nam,,704,C R,   Nepal,524,106,299,774, 1 375, 1 944, 2 315, 2 440
8350,   Viet Nam,,704,C R,   Pakistan,586,30,70,166,338,490,591,622
8351,   Viet Nam,,704,C R,   Philippines,608,12,29,70,80,94,113,118
8352,   Viet Nam,,704,C R,   Singapore,702,294,522, 1 046, 1 220, 1 451, 1 751, 1 845
8353,   Viet Nam,,704,C R,   Thailand,764, 1 218, 2 995, 7 145, 8 148, 9 570, 11 552, 12 192
8354,   Viet Nam,,704,C R,   United Kingdom*,826,256, 1 230, 3 613, 2 803,927, 1 119, 1 178
8355,   Viet Nam,,704,C R,   United States of America*,840,263,585, 1 359, 1 812, 2 625, 3 164, 3 335
8356,   Viet Nam,,704,C R,Other,2003,720, 1 459, 3 378, 3 785, 4 388, 5 303, 5 614
8357,  Southern Asia,,5501,,WORLD,900,19 537 940,15 343 019,14 950 743,13 618 667,14 411 845,13 873 473,13 863 534
8358,  Southern Asia,,5501,,  Sub-Saharan Africa,947, 15 072, 10 454, 5 836, 38 891, 64 249, 59 886, 56 028
8359,  Southern Asia,,5501,,  Northern Africa and Western Asia,1833, 327 611, 302 868, 261 663, 215 485, 221 186, 184 497, 163 471
8360,  Southern Asia,,5501,,  Central and Southern Asia,921,17 847 071,13 746 068,13 375 836,11 838 356,12 213 766,11 578 095,10 952 962
8361,  Southern Asia,,5501,,  Eastern and South-Eastern Asia,1832, 850 985, 953 692, 965 444, 970 993,1 158 386,1 181 818,1 828 243
8362,  Southern Asia,,5501,,  Latin America and the Caribbean,1830,552, 5 390, 10 229, 12 183, 14 121, 14 956, 14 664
8363,  Southern Asia,,5501,,  Oceania (excluding Australia and New Zealand),1835, 2 385, 1 298,210,598,895,833,779
8364,  Southern Asia,,5501,,  Australia and New Zealand,927, 3 234, 2 156, 1 079, 3 261, 5 105, 4 825, 4 570
8365,  Southern Asia,,5501,,  Europe and Northern America,1829, 75 749, 80 434, 85 080, 124 656, 160 577, 161 546, 156 174
8366,  Southern Asia,,5501,,  Developed regions,901, 89 061, 93 062, 97 023, 141 378, 181 831, 183 130, 177 133
8367,  Southern Asia,,5501,,  Less developed regions,902,19 033 598,15 009 298,14 608 354,13 063 045,13 656 454,13 003 326,12 999 758
8368,  Southern Asia,,5501,," Less developed regions, excluding least developed countries",934,6 340 852,5 805 229,5 240 483,4 961 703,4 768 854,4 633 642,4 215 189
8369,  Southern Asia,,5501,," Less developed regions, excluding China",948,18 852 415,14 753 393,14 368 979,12 798 587,13 371 714,12 706 467,12 708 962
8370,  Southern Asia,,5501,,  Least developed countries,941,12 692 746,9 204 069,9 367 871,8 101 342,8 887 600,8 369 684,8 784 569
8371,  Southern Asia,,5501,,  Land-locked Developing Countries (LLDC),1636,8 033 018,4 796 891,5 216 879,4 614 201,5 718 585,5 375 941,5 281 364
8372,  Southern Asia,,5501,,  Small island developing States (SIDS),1637, 26 773, 30 843, 34 913, 43 103, 51 474, 52 619, 51 208
8373,  Southern Asia,,5501,,  High-income countries,1503, 157 338, 173 487, 189 607, 266 715, 335 726, 331 752, 318 497
8374,  Southern Asia,,5501,,  Middle-income countries,1517,11 553 287,10 918 348,10 166 859,9 320 937,8 845 054,8 442 523,8 483 505
8375,  Southern Asia,,5501,, Upper-middle-income countries,1502, 686 295, 774 081, 755 804, 764 444, 802 935, 788 345, 756 933
8376,  Southern Asia,,5501,, Lower-middle-income countries,1501,10 866 992,10 144 267,9 411 055,8 556 493,8 042 119,7 654 178,7 726 572
8377,  Southern Asia,,5501,,  Low-income countries,1500,7 412 034,4 010 525,4 348 911,3 616 771,4 657 505,4 412 181,4 374 889
8378,  Southern Asia,,5501,, AFRICA,903, 15 088, 10 497, 5 909, 39 000, 64 449, 60 093, 56 236
8379,  Southern Asia,,5501,,  Eastern Africa,910, 13 783, 9 383, 4 982, 37 834, 62 955, 58 660, 54 863
8380,  Southern Asia,,5501,,  Middle Africa,911,..,..,..,..,..,..,..
8381,  Southern Asia,,5501,,  Northern Africa,912,16,43,73,109,200,207,208
8382,  Southern Asia,,5501,,  Southern Africa,913,3,33,64,127,257,260,262
8383,  Southern Asia,,5501,,  Western Africa,914, 1 286, 1 038,790,930, 1 037,966,903
8384,  Southern Asia,,5501,, ASIA,935,19 025 651,15 002 585,14 602 870,13 024 725,13 593 138,12 944 203,12 944 468
8385,  Southern Asia,,5501,,  Central Asia,5500, 44 209, 40 859, 38 215, 34 321, 28 686, 18 589, 7 028
8386,  Southern Asia,,5501,,  Eastern Asia,906, 191 283, 266 472, 250 409, 278 241, 301 516, 314 254, 307 829
8387,  Southern Asia,,5501,,  South-Eastern Asia,920, 659 702, 687 220, 715 035, 692 752, 856 870, 867 564,1 520 414
8388,  Southern Asia,,5501,,  Southern Asia,5501,17 802 862,13 705 209,13 337 621,11 804 035,12 185 080,11 559 506,10 945 934
8389,  Southern Asia,,5501,,  Western Asia,922, 327 595, 302 825, 261 590, 215 376, 220 986, 184 290, 163 263
8390,  Southern Asia,,5501,, EUROPE,908, 34 931, 41 339, 47 710, 59 983, 73 399, 74 681, 72 748
8391,  Southern Asia,,5501,,  Eastern Europe,923, 3 446, 2 565, 1 685, 1 598, 1 580, 1 483, 1 398
8392,  Southern Asia,,5501,,  Northern Europe,924, 18 622, 28 998, 39 372, 49 697, 59 442, 61 262, 59 593
8393,  Southern Asia,,5501,,  Southern Europe,925,774, 1 333, 1 878, 3 241, 5 998, 5 787, 5 844
8394,  Southern Asia,,5501,,  Western Europe,926, 12 089, 8 443, 4 775, 5 447, 6 379, 6 149, 5 913
8395,  Southern Asia,,5501,, LATIN AMERICA AND THE CARIBBEAN,904,552, 5 390, 10 229, 12 183, 14 121, 14 956, 14 664
8396,  Southern Asia,,5501,,  Caribbean,915,..,3,8,18,38,37,36
8397,  Southern Asia,,5501,,  Central America,916,..,..,..,..,..,..,..
8398,  Southern Asia,,5501,,  South America,931,552, 5 387, 10 221, 12 165, 14 083, 14 919, 14 628
8399,  Southern Asia,,5501,, NORTHERN AMERICA,905, 40 818, 39 095, 37 370, 64 673, 87 178, 86 865, 83 426
8400,  Southern Asia,,5501,, OCEANIA ,909, 5 619, 3 454, 1 289, 3 859, 6 000, 5 658, 5 349
8401,  Southern Asia,,5501,,  Australia and New Zealand,927, 3 234, 2 156, 1 079, 3 261, 5 105, 4 825, 4 570
8402,  Southern Asia,,5501,,  Melanesia,928, 2 385, 1 298,210,598,895,833,779
8403,  Southern Asia,,5501,,  Micronesia,954,..,..,..,..,..,..,..
8404,  Southern Asia,,5501,,  Polynesia*,957,..,..,..,..,..,..,..
8405,  Southern Asia,,5501,,   Burundi,108,..,..,..,..,..,..,..
8406,  Southern Asia,,5501,,   Comoros,174,..,..,..,..,..,..,..
8407,  Southern Asia,,5501,,   Djibouti,262,..,..,..,..,..,..,..
8408,  Southern Asia,,5501,,   Eritrea,232,..,..,..,..,..,..,..
8409,  Southern Asia,,5501,,   Ethiopia,231,..,..,..,..,..,..,..
8410,  Southern Asia,,5501,,   Kenya,404, 8 170, 5 541, 2 912, 6 291, 8 874, 8 268, 7 733
8411,  Southern Asia,,5501,,   Madagascar,450,..,..,..,..,..,..,..
8412,  Southern Asia,,5501,,   Malawi,454,..,..,..,..,..,..,..
8413,  Southern Asia,,5501,,   Mauritius*,480, 2 547, 1 455,362,382,399,371,346
8414,  Southern Asia,,5501,,   Mayotte*,175,..,..,..,..,..,..,..
8415,  Southern Asia,,5501,,   Mozambique,508,..,..,..,..,..,..,..
8416,  Southern Asia,,5501,,   R?union*,638,..,..,..,..,..,..,..
8417,  Southern Asia,,5501,,   Rwanda,646,..,..,..,..,..,..,..
8418,  Southern Asia,,5501,,   Seychelles,690,..,2,5,12,26,25,24
8419,  Southern Asia,,5501,,   Somalia,706,..,..,..,..,..,..,..
8420,  Southern Asia,,5501,,   South Sudan,728,..,..,..,..,..,..,..
8421,  Southern Asia,,5501,,   Uganda,800, 2 058, 1 465,872, 29 845, 51 990, 48 444, 45 309
8422,  Southern Asia,,5501,,   United Republic of Tanzania*,834,..,..,..,..,..,..,..
8423,  Southern Asia,,5501,,   Zambia,894, 1 008,920,831, 1 304, 1 666, 1 552, 1 451
8424,  Southern Asia,,5501,,   Zimbabwe,716,..,..,..,..,..,..,..
8425,  Southern Asia,,5501,,   Angola,24,..,..,..,..,..,..,..
8426,  Southern Asia,,5501,,   Cameroon,120,..,..,..,..,..,..,..
8427,  Southern Asia,,5501,,   Central African Republic,140,..,..,..,..,..,..,..
8428,  Southern Asia,,5501,,   Chad,148,..,..,..,..,..,..,..
8429,  Southern Asia,,5501,,   Congo,178,..,..,..,..,..,..,..
8430,  Southern Asia,,5501,,   Democratic Republic of the Congo,180,..,..,..,..,..,..,..
8431,  Southern Asia,,5501,,   Equatorial Guinea,226,..,..,..,..,..,..,..
8432,  Southern Asia,,5501,,   Gabon,266,..,..,..,..,..,..,..
8433,  Southern Asia,,5501,,   Sao Tome and Principe,678,..,..,..,..,..,..,..
8434,  Southern Asia,,5501,,   Algeria,12,..,..,..,..,..,..,..
8435,  Southern Asia,,5501,,   Egypt,818,16,39,64,90,160,167,169
8436,  Southern Asia,,5501,,   Libya,434,..,4,9,19,40,40,39
8437,  Southern Asia,,5501,,   Morocco,504,..,..,..,..,..,..,..
8438,  Southern Asia,,5501,,   Sudan,729,..,..,..,..,..,..,..
8439,  Southern Asia,,5501,,   Tunisia,788,..,..,..,..,..,..,..
8440,  Southern Asia,,5501,,   Western Sahara,732,..,..,..,..,..,..,..
8441,  Southern Asia,,5501,,   Botswana,72,..,..,..,..,..,..,..
8442,  Southern Asia,,5501,,   Eswatini,748,..,..,..,..,..,..,..
8443,  Southern Asia,,5501,,   Lesotho,426,..,..,..,..,..,..,..
8444,  Southern Asia,,5501,,   Namibia,516,..,..,..,..,..,..,..
8445,  Southern Asia,,5501,,   South Africa,710,3,33,64,127,257,260,262
8446,  Southern Asia,,5501,,   Benin,204,..,..,..,..,..,..,..
8447,  Southern Asia,,5501,,   Burkina Faso,854,..,..,..,..,..,..,..
8448,  Southern Asia,,5501,,   Cabo Verde,132,..,..,..,..,..,..,..
8449,  Southern Asia,,5501,,   C?te d'Ivoire,384,..,..,..,..,..,..,..
8450,  Southern Asia,,5501,,   Gambia,270,..,..,..,..,..,..,..
8451,  Southern Asia,,5501,,   Ghana,288,..,..,..,..,..,..,..
8452,  Southern Asia,,5501,,   Guinea,324,..,..,..,..,..,..,..
8453,  Southern Asia,,5501,,   Guinea-Bissau,624,..,..,..,..,..,..,..
8454,  Southern Asia,,5501,,   Liberia,430,..,..,..,..,..,..,..
8455,  Southern Asia,,5501,,   Mali,466,..,..,..,..,..,..,..
8456,  Southern Asia,,5501,,   Mauritania,478,..,..,..,..,..,..,..
8457,  Southern Asia,,5501,,   Niger,562,..,..,..,..,..,..,..
8458,  Southern Asia,,5501,,   Nigeria,566, 1 286, 1 038,790,930, 1 037,966,903
8459,  Southern Asia,,5501,,   Saint Helena*,654,..,..,..,..,..,..,..
8460,  Southern Asia,,5501,,   Senegal,686,..,..,..,..,..,..,..
8461,  Southern Asia,,5501,,   Sierra Leone,694,..,..,..,..,..,..,..
8462,  Southern Asia,,5501,,   Togo,768,..,..,..,..,..,..,..
8463,  Southern Asia,,5501,,   Kazakhstan,398, 1 408, 2 052, 2 696, 1 449,497,463,433
8464,  Southern Asia,,5501,,   Kyrgyzstan,417,..,..,..,..,..,..,..
8465,  Southern Asia,,5501,,   Tajikistan,762, 40 537, 36 733, 32 929, 28 460, 23 991, 15 031, 4 422
8466,  Southern Asia,,5501,,   Turkmenistan,795,237,238,944, 2 990, 2 999, 2 344, 1 954
8467,  Southern Asia,,5501,,   Uzbekistan,860, 2 027, 1 836, 1 646, 1 422, 1 199,751,219
8468,  Southern Asia,,5501,,   China*,156, 181 183, 255 905, 239 375, 264 458, 284 740, 296 859, 290 796
8469,  Southern Asia,,5501,,"   China, Hong Kong SAR*",344,..,..,..,..,..,..,..
8470,  Southern Asia,,5501,,"   China, Macao SAR*",446,..,..,..,..,..,..,..
8471,  Southern Asia,,5501,,"   China, Taiwan Province of China*",158,..,..,..,..,..,..,..
8472,  Southern Asia,,5501,,   Dem. People's Republic of Korea,408,..,..,..,..,..,..,..
8473,  Southern Asia,,5501,,   Japan,392, 10 078, 10 472, 10 864, 13 461, 16 149, 16 759, 16 389
8474,  Southern Asia,,5501,,   Mongolia,496,..,..,..,..,..,..,..
8475,  Southern Asia,,5501,,   Republic of Korea,410,22,95,170,322,627,636,644
8476,  Southern Asia,,5501,,   Brunei Darussalam,96, 16 220, 23 639, 31 057, 28 757, 27 000, 25 158, 23 530
8477,  Southern Asia,,5501,,   Cambodia,116, 12 924, 13 190, 13 455, 16 015, 18 541, 19 642, 19 259
8478,  Southern Asia,,5501,,   Indonesia,360, 73 015, 85 988, 99 000, 125 254, 145 889, 154 998, 151 920
8479,  Southern Asia,,5501,,   Lao People's Democratic Republic,418, 58 722, 59 555, 60 387, 71 878, 83 217, 88 155, 86 447
8480,  Southern Asia,,5501,,   Malaysia*,458, 104 896, 140 202, 175 506, 206 388, 221 466, 219 116, 214 252
8481,  Southern Asia,,5501,,   Myanmar,104, 315 171, 304 923, 294 958, 195 247, 303 105, 300 966, 966 906
8482,  Southern Asia,,5501,,   Philippines,608,312,247,168,540,735,929, 1 009
8483,  Southern Asia,,5501,,   Singapore,702, 19 921, 16 440, 12 957, 15 909, 18 786, 18 481, 17 775
8484,  Southern Asia,,5501,,   Thailand,764, 15 601, 12 090, 8 575, 9 450, 10 781, 11 182, 11 006
8485,  Southern Asia,,5501,,   Timor-Leste,626,..,..,..,..,..,..,..
8486,  Southern Asia,,5501,,   Viet Nam,704, 42 920, 30 946, 18 972, 23 314, 27 350, 28 937, 28 310
8487,  Southern Asia,,5501,,   Afghanistan,4,7 369 439,3 972 316,4 315 085,3 558 413,4 581 413,4 348 596,4 325 050
8488,  Southern Asia,,5501,,   Bangladesh,50,4 377 309,4 131 399,3 885 119,3 319 816,2 884 883,2 698 616,2 529 809
8489,  Southern Asia,,5501,,   Bhutan,64, 27 895, 117 302, 119 383, 118 161, 86 517, 39 063, 37 173
8490,  Southern Asia,,5501,,   India,356,3 262 078,2 965 946,2 738 617,2 614 679,2 503 312,2 258 515,2 130 244
8491,  Southern Asia,,5501,,   Iran (Islamic Republic of),364, 7 160, 5 641, 5 051, 4 762, 4 966, 4 751, 4 446
8492,  Southern Asia,,5501,,   Maldives,462, 1 827, 1 220,613, 1 398, 2 466, 2 314, 2 272
8493,  Southern Asia,,5501,,   Nepal,524, 528 220, 602 996, 677 773, 790 645, 876 230, 824 613, 773 129
8494,  Southern Asia,,5501,,   Pakistan,586,1 941 943,1 665 863,1 397 733,1 186 328,1 025 685,1 178 045, 951 034
8495,  Southern Asia,,5501,,   Sri Lanka,144, 286 991, 242 526, 198 247, 209 833, 219 608, 204 993, 192 777
8496,  Southern Asia,,5501,,   Armenia,51,571,575, 1 287, 1 867, 1 517, 1 185,989
8497,  Southern Asia,,5501,,   Azerbaijan*,31,896,903, 3 046, 7 767, 7 349, 5 744, 4 788
8498,  Southern Asia,,5501,,   Bahrain,48,93, 10 425, 20 758, 24 786, 28 864, 30 558, 29 976
8499,  Southern Asia,,5501,,   Cyprus*,196,2,31,61,122,247,250,251
8500,  Southern Asia,,5501,,   Georgia*,268,..,..,..,..,..,..,..
8501,  Southern Asia,,5501,,   Iraq,368, 292 361, 259 015, 206 017, 122 392, 100 653, 69 743, 55 387
8502,  Southern Asia,,5501,,   Israel,376,..,5,12,26,55,55,54
8503,  Southern Asia,,5501,,   Jordan,400,3,34,67,134,271,274,276
8504,  Southern Asia,,5501,,   Kuwait,414, 16 880, 12 373, 7 867, 11 733, 15 230, 14 328, 13 534
8505,  Southern Asia,,5501,,   Lebanon,422,15,101,189,366,732,742,750
8506,  Southern Asia,,5501,,   Oman,512,3,41,81,161,325,328,331
8507,  Southern Asia,,5501,,   Qatar,634,3,34,67,134,270,273,275
8508,  Southern Asia,,5501,,   Saudi Arabia,682, 6 073, 5 934, 5 797, 12 404, 17 859, 16 845, 15 864
8509,  Southern Asia,,5501,,   State of Palestine*,275,..,..,..,..,..,..,..
8510,  Southern Asia,,5501,,   Syrian Arab Republic,760,..,8,17,35,73,73,72
8511,  Southern Asia,,5501,,   Turkey,792,736,830, 1 249, 1 262, 1 754, 1 095,558
8512,  Southern Asia,,5501,,   United Arab Emirates,784, 9 959, 12 516, 15 075, 32 187, 45 787, 42 797, 40 158
8513,  Southern Asia,,5501,,   Yemen,887,..,..,..,..,..,..,..
8514,  Southern Asia,,5501,,   Belarus,112,..,..,..,..,..,..,..
8515,  Southern Asia,,5501,,   Bulgaria,100,..,..,..,..,..,..,..
8516,  Southern Asia,,5501,,   Czechia,203,..,..,..,..,..,..,..
8517,  Southern Asia,,5501,,   Hungary,348,..,..,..,..,..,..,..
8518,  Southern Asia,,5501,,   Poland,616,..,..,..,..,..,..,..
8519,  Southern Asia,,5501,,   Republic of Moldova*,498,..,..,..,..,..,..,..
8520,  Southern Asia,,5501,,   Romania,642,..,..,..,..,..,..,..
8521,  Southern Asia,,5501,,   Russian Federation,643, 3 446, 2 565, 1 685, 1 598, 1 580, 1 483, 1 398
8522,  Southern Asia,,5501,,   Slovakia,703,..,..,..,..,..,..,..
8523,  Southern Asia,,5501,,   Ukraine*,804,..,..,..,..,..,..,..
8524,  Southern Asia,,5501,,   Channel Islands*,830,..,..,..,..,..,..,..
8525,  Southern Asia,,5501,,   Denmark*,208,18,21,24,30,36,38,38
8526,  Southern Asia,,5501,,   Estonia,233,..,..,..,..,..,..,..
8527,  Southern Asia,,5501,,   Faroe Islands*,234,..,..,..,..,..,..,..
8528,  Southern Asia,,5501,,   Finland*,246,..,6,14,29,61,61,60
8529,  Southern Asia,,5501,,   Iceland,352,..,..,..,..,..,..,..
8530,  Southern Asia,,5501,,   Ireland,372,..,..,..,..,..,..,..
8531,  Southern Asia,,5501,,   Isle of Man*,833,..,..,..,..,..,..,..
8532,  Southern Asia,,5501,,   Latvia,428,..,..,..,..,..,..,..
8533,  Southern Asia,,5501,,   Lithuania,440,..,..,..,..,..,..,..
8534,  Southern Asia,,5501,,   Norway*,578, 4 241, 7 036, 9 832, 11 726, 13 625, 14 428, 14 149
8535,  Southern Asia,,5501,,   Sweden,752,51,76,101,120,180,188,189
8536,  Southern Asia,,5501,,   United Kingdom*,826, 14 312, 21 859, 29 401, 37 792, 45 540, 46 547, 45 157
8537,  Southern Asia,,5501,,   Albania,8,..,..,..,..,..,..,..
8538,  Southern Asia,,5501,,   Andorra,20,..,..,..,..,..,..,..
8539,  Southern Asia,,5501,,   Bosnia and Herzegovina,70,..,..,..,..,..,..,..
8540,  Southern Asia,,5501,,   Croatia,191,..,..,..,..,..,..,..
8541,  Southern Asia,,5501,,   Gibraltar*,292,..,..,..,..,..,..,..
8542,  Southern Asia,,5501,,   Greece,300,1,11,22,44,89,90,89
8543,  Southern Asia,,5501,,   Holy See*,336,..,..,..,..,..,..,..
8544,  Southern Asia,,5501,,   Italy,380,319,996, 1 655, 2 875, 5 477, 5 273, 5 357
8545,  Southern Asia,,5501,,   Malta,470,..,..,..,..,..,..,..
8546,  Southern Asia,,5501,,   Montenegro,499,..,..,..,..,..,..,..
8547,  Southern Asia,,5501,,   North Macedonia,807,..,..,..,..,..,..,..
8548,  Southern Asia,,5501,,   Portugal,620,454,323,193,305,396,389,364
8549,  Southern Asia,,5501,,   San Marino,674,..,..,..,..,..,..,..
8550,  Southern Asia,,5501,,   Serbia*,688,..,..,..,..,..,..,..
8551,  Southern Asia,,5501,,   Slovenia,705,..,..,..,..,..,..,..
8552,  Southern Asia,,5501,,   Spain*,724,..,3,8,17,36,35,34
8553,  Southern Asia,,5501,,   Austria,40,50,36,21,17,20,23,23
8554,  Southern Asia,,5501,,   Belgium,56,..,..,..,..,..,..,..
8555,  Southern Asia,,5501,,   France*,250, 5 973, 3 793, 1 609, 2 007, 2 413, 2 298, 2 189
8556,  Southern Asia,,5501,,   Germany,276, 5 938, 4 451, 2 952, 3 162, 3 519, 3 378, 3 240
